timestamp,event_type,challenge_name,challenge_title,challenge_level,user_engagement,session_id,time_spent_seconds,user_agent,url,headers,params,query,body,webhookUrl,executionMode
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""241"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a13dd3873d64bb-GIG"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.90.71"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-lx7r9"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""event_type"":""test_active_check"",""challenge_name"":""teste-ativo"",""challenge_title"":""Teste Webhook Ativo"",""user_engagement"":""high"",""timestamp"":""2025-07-04T20:06:09.3NZ"",""sessionId"":""test_active_session""}",https://cloudwalk-growth.app.n8n.cloud/webhook-test/973d5b3f-1952-42c2-8de7-671ae0906f24,test
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""420"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a13f7e803564df-GIG"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.91.6"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-hfshc"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""event_type"":""test_production"",""challenge_name"":""teste-producao"",""challenge_title"":""Teste Production URL"",""challenge_level"":""Production Level"",""user_engagement"":""very_high"",""timestamp"":""2025-07-04T20:07:17.3NZ"",""sessionId"":""prod_session_123"",""userAgent"":""Production Test Agent"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""time_spent_seconds"":35}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""695"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14014d305644e-GIG"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.91.6"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-hfshc"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""event_type"":""challenge_expanded"",""challenge_name"":""voynich-manuscript-decoder"",""challenge_title"":""🧾 Voynich Manuscript Decoder Challenge"",""challenge_level"":""Level 3: Jedi Grand Master – Hardcore AI Missions"",""challenge_summary"":""Use AI to decode the Voynich Manuscript, one of the most mysterious books in the world."",""user_engagement"":""very_high"",""interaction_type"":""click"",""timestamp"":""2025-07-04T20:07:41.3NZ"",""sessionId"":""prod_session_final"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":""https://google.com""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""313"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14515f1216509-GIG"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.90.96"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-cdv7x"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""event_type"":""page_view"",""page_title"":""CloudWalk AI Jedi Challenges"",""page_path"":""/"",""timestamp"":""2025-07-04T20:11:06.3NZ"",""sessionId"":""live_session_test"",""userAgent"":""Mozilla/5.0 (Live Test)"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":""""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""778"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14567662152d2-GRU"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.138.2"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-cdv7x"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""event_type"":""challenge_expanded"",""challenge_name"":""kaggle-slaying-multi-agent"",""challenge_title"":""🤖 Kaggle-Slaying Multi-Agent Team"",""challenge_level"":""Level 3: Jedi Grand Master – Hardcore AI Missions"",""challenge_summary"":""Build a team of agents that autonomously participate in Kaggle competitions and aim for top 20%."",""interaction_type"":""click"",""user_engagement"":""very_high"",""timestamp"":""2025-07-04T20:11:19.3NZ"",""sessionId"":""live_master_session"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":""https://google.com/search?q=ai+challenges""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""content-length"":""554"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""accept-language"":""pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14737058ba4ff-GRU"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""origin"":""https://cloudwalk-jedi-challenges.vercel.app"",""priority"":""u=1, i"",""referer"":""https://cloudwalk-jedi-challenges.vercel.app/"",""sec-ch-ua"":""\""Google Chrome\"";v=\""137\"", \""Chromium\"";v=\""137\"", \""Not/A)Brand\"";v=\""24\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""macOS\"""",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.71.10.161"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-lx7r9"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""timestamp"":""2025-07-04T20:12:33.727Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":"""",""sessionId"":""jedi_1751659951259_70wk3nziv"",""event_type"":""challenge_hover"",""challenge_name"":""find-video-source"",""challenge_title"":""🔍 Find the Video Source"",""challenge_level"":""🧑‍🚀\n                            Level 1: Padawan – Light Side Missions"",""interaction_type"":""hover"",""user_engagement"":""medium""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""content-length"":""391"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""accept-language"":""pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14747a63fa4ff-GRU"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""origin"":""https://cloudwalk-jedi-challenges.vercel.app"",""priority"":""u=1, i"",""referer"":""https://cloudwalk-jedi-challenges.vercel.app/"",""sec-ch-ua"":""\""Google Chrome\"";v=\""137\"", \""Chromium\"";v=\""137\"", \""Not/A)Brand\"";v=\""24\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""macOS\"""",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.71.11.72"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-lx7r9"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""timestamp"":""2025-07-04T20:12:36.374Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":"""",""sessionId"":""jedi_1751659951259_70wk3nziv"",""event_type"":""page_visibility_change"",""visibility_state"":""hidden"",""is_visible"":false,""time_since_load"":5119}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""content-length"":""397"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""accept-language"":""pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a147e767bba4ff-GRU"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""origin"":""https://cloudwalk-jedi-challenges.vercel.app"",""priority"":""u=1, i"",""referer"":""https://cloudwalk-jedi-challenges.vercel.app/"",""sec-ch-ua"":""\""Google Chrome\"";v=\""137\"", \""Chromium\"";v=\""137\"", \""Not/A)Brand\"";v=\""24\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""macOS\"""",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.71.11.118"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-lx7r9"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""timestamp"":""2025-07-04T20:13:01.931Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":"""",""sessionId"":""jedi_1751659951259_70wk3nziv"",""event_type"":""time_on_page"",""time_spent_seconds"":31,""time_spent_minutes"":1,""milestone"":30,""user_engagement"":""low""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""content-length"":""400"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""accept-language"":""pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a148a2d1fca4ff-GRU"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""origin"":""https://cloudwalk-jedi-challenges.vercel.app"",""priority"":""u=1, i"",""referer"":""https://cloudwalk-jedi-challenges.vercel.app/"",""sec-ch-ua"":""\""Google Chrome\"";v=\""137\"", \""Chromium\"";v=\""137\"", \""Not/A)Brand\"";v=\""24\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""macOS\"""",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.71.10.146"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-lx7r9"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""timestamp"":""2025-07-04T20:13:31.924Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":"""",""sessionId"":""jedi_1751659951259_70wk3nziv"",""event_type"":""time_on_page"",""time_spent_seconds"":61,""time_spent_minutes"":1,""milestone"":60,""user_engagement"":""medium""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
,,,,,,,,,,"{""host"":""cloudwalk-growth.app.n8n.cloud"",""user-agent"":""curl/8.7.1"",""content-length"":""551"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""cdn-loop"":""cloudflare; loops=1; subreqs=1"",""cf-connecting-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd"",""cf-ew-via"":""15"",""cf-ipcountry"":""BR"",""cf-ray"":""95a14a2ed76f8a83-GIG"",""cf-visitor"":""{\""scheme\"":\""https\""}"",""cf-worker"":""n8n.cloud"",""content-type"":""application/json"",""x-forwarded-for"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd, 172.69.90.97"",""x-forwarded-host"":""cloudwalk-growth.app.n8n.cloud"",""x-forwarded-port"":""443"",""x-forwarded-proto"":""https"",""x-forwarded-server"":""traefik-prod-users-gwc-2-ddc688d69-hfshc"",""x-is-trusted"":""yes"",""x-real-ip"":""2804:7f0:bac3:a6b7:56f:dcdb:b08e:d8fd""}",{},{},"{""timestamp"":""2025-07-04T20:14:35.3NZ"",""userAgent"":""Mozilla/5.0 (Test)"",""url"":""https://cloudwalk-jedi-challenges.vercel.app/"",""referrer"":"""",""sessionId"":""test_analysis_session"",""event_type"":""challenge_expanded"",""challenge_name"":""cloudwalk-chatbot"",""challenge_title"":""💬 CloudWalk Chatbot"",""challenge_level"":""Level 1: Padawan – Light Side Missions"",""challenge_summary"":""Build a chatbot that explains what CloudWalk is..."",""interaction_type"":""click"",""user_engagement"":""high""}",https://cloudwalk-growth.app.n8n.cloud/webhook/973d5b3f-1952-42c2-8de7-671ae0906f24,production
